ORF,plate,date,row,col,class,score
YDR461W,add1,4/26/12,6,3,-1,-3.75405
YEL068C,add1,4/26/12,7,4,-1,-8.31110
YMR306W,add1,4/26/12,9,11,-1,-4.76926
YBR281C,add1,4/26/12,10,2,-1,-2.34355
YDR117C,add1,4/26/12,12,9,-1,-11.40386
YFL041W,add4,4/26/12,4,2,-1,-2.45221
YNL117W,add4,4/26/12,5,2,-1,-4.12585
YFR030W,add4,4/26/12,8,2,-1,-7.21577
YPL023C,add4,4/26/12,8,5,-1,-2.25372
YCL035C,add4,4/26/12,11,8,-1,-2.80997
YGL029W,add4,4/26/12,12,2,-1,-6.43440
YDR475C,rmkDM,06/18/12,11,19,-1,-1.89945
YJR075W,rmkDM,06/19/12,14,20,-1,-9.01164
YMR192W,10,12/10/11,8,3,-1,-5.24286
YMR189W,10,12/10/11,8,9,-1,-6.64518
YML012W,10,12/10/11,11,14,-1,-15.00225
YMR219W,10,12/10/11,12,11,-1,-10.90225
YMR007W,10,12/10/11,13,21,-1,-3.65327
YNL200C,11,12/10/11,8,4,-1,-16.28185
YMR312W,11,12/10/11,11,4,-1,-15.11269
YNL094W,11,12/10/11,11,5,-1,-11.24877
YMR310C,11,12/10/11,11,8,-1,-14.53157
YNL089C,11,12/10/11,11,15,-1,-9.73452
YNL249C,11,12/10/11,14,4,-1,-8.83125
YOR094W,12,12/09/11,2,5,-1,-14.32657
YNR030W,12,12/09/11,3,4,-1,-9.57765
YNR032W,12,12/09/11,5,20,-1,-11.30155
YOR040W,12,12/09/11,8,2,-1,-4.26246
YOL098C,12,12/09/11,9,7,-1,-9.23789
YOL092W,12,12/09/11,9,13,-1,-4.92183
YOR047C,12,12/09/11,10,12,-1,-16.29891
YOL006C,12,12/09/11,11,18,-1,-2.23480
YOL117W,12,12/09/11,13,17,-1,-14.52120
YOR338W,13,12/11/11,5,17,-1,-6.62625
YPL224C,13,12/11/11,10,5,-1,-0.43401
YPL222W,13,12/11/11,10,9,-1,-13.26175
YPL135W,13,12/11/11,12,10,-1,-9.53104
YPL227C,13,12/11/11,12,21,-1,-16.07248
YPL156C,13,12/11/11,14,2,-1,-7.62708
YPL155C,13,12/11/11,14,4,-1,-0.21766
YPL154C,13,12/11/11,14,6,-1,-7.15419
YPL253C,13,12/11/11,14,13,-1,-5.55401
YPL249C,13,12/11/11,14,17,-1,-10.85559
YPL248C,13,12/11/11,14,19,-1,-4.74345
YPL247C,13,12/11/11,14,21,-1,-5.44123
YPR125W,14,12/11/11,5,17,-1,-8.24218
YJR039W,14,12/11/11,8,9,-1,-7.22085
YOR379C,14,12/11/11,12,7,-1,-5.08336
YBR299W,14,12/11/11,12,16,-1,-12.42580
YBR058C,1,11/29/11,6,2,-1,-2.20319
YBL064C,1,11/29/11,7,3,-1,-11.10598
YBL078C,1,11/29/11,9,5,-1,-2.97429
YBL071C,1,11/29/11,9,11,-1,-11.77265
YBR001C,1,11/29/11,13,3,-1,-0.46975
YAR037W,1,11/29/11,13,12,-1,-3.92239
YBR009C,1,11/29/11,15,15,-1,-10.62653
YCL036W,2,11/29/11,3,3,-1,-0.36979
YBR292C,2,11/29/11,11,4,-1,-6.95283
