ORF,plate,date,row,col,class,score
YBR128C,add1,4/26/12,5,23,-1,-1.55378
YML035C,add1,4/26/12,13,22,-1,-0.36794
YIL017C,add1,4/26/12,15,15,-1,-7.73619
YOR285W,add1,4/26/12,15,16,-1,-14.79531
YOR348C,add1,4/26/12,15,17,-1,-9.27281
YIL040W,add4,4/26/12,2,2,-1,-11.92730
YFR011C,add4,4/26/12,2,22,-1,-13.64770
YOR311C,add4,4/26/12,14,21,-1,-7.02681
YDL134C-A,add4,4/26/12,14,23,-1,-0.11641
YEL010W,add4,4/26/12,15,9,-1,-2.03198
YCL009C,add4,4/26/12,15,11,-1,-9.45935
YDR162C,rmkDM,06/18/12,3,17,-1,-13.21300
YGR261C,rmkDM,06/18/12,5,18,-1,-10.78449
YHL010C,rmkDM,06/18/12,15,10,-1,-6.13466
YLR356W,rmkDM,06/18/12,15,14,-1,-7.63368
YMR035W,10,12/10/11,2,18,-1,-4.59956
YMR145C,10,12/10/11,2,23,-1,-14.24032
YMR172W,10,12/10/11,6,19,-1,-5.10738
YMR172C-A,10,12/10/11,6,21,-1,-7.33225
YMR171C,10,12/10/11,6,23,-1,-10.90892
YML104C,10,12/10/11,9,21,-1,-6.52080
YNL255C,11,12/10/11,2,21,-1,-11.83375
YNL291C,11,12/10/11,6,23,-1,-0.15682
YNL305C,11,12/10/11,8,17,-1,-7.55008
YNL338W,11,12/10/11,12,11,-1,-0.92458
YNR014W,11,12/10/11,14,7,-1,-1.38657
YNL004W,11,12/10/11,15,20,-1,-5.06917
YNL003C,11,12/10/11,15,22,-1,-10.10442
YOR090C,12,12/09/11,2,13,-1,-2.94902
YNR056C,12,12/09/11,7,18,-1,-12.12141
YOR227W,13,12/11/11,5,14,-1,-10.46771
YPL195W,13,12/11/11,6,5,-1,-4.78581
YPL184C,13,12/11/11,6,21,-1,-4.63394
YOR252W,13,12/11/11,7,2,-1,-5.27623
YOR350C,13,12/11/11,7,21,-1,-9.91844
YPL099C,13,12/11/11,8,18,-1,-10.21244
YPR002W,14,12/11/11,5,20,-1,-1.24087
YPR152C,14,12/11/11,7,3,-1,-9.39577
YPR039W,14,12/11/11,8,12,-1,-1.22293
YBR095C,14,12/11/11,10,10,-1,-6.91928
YPR074C,14,12/11/11,13,2,-1,-0.96650
YAL004W,1,11/29/11,3,20,-1,-6.41412
YBL047C,1,11/29/11,5,11,-1,-4.11733
YBL039C,1,11/29/11,5,19,-1,-10.89446
YBL089W,1,11/29/11,11,9,-1,-4.92885
YBR203W,1,11/29/11,12,19,-1,-0.70280
YBL013W,1,11/29/11,15,4,-1,-8.15041
YBL011W,1,11/29/11,15,6,-1,-3.80224
YDL099W,2,11/29/11,4,13,-1,-10.97502
YDL114W,2,11/29/11,6,19,-1,-0.99863
YBR288C,2,11/29/11,11,12,-1,-8.42814
YDR184C,3,11/19/11,2,16,-1,-9.15618
YDR233C,3,11/19/11,6,2,-1,-0.21841
YDL224C,3,11/19/11,7,14,-1,-13.16264
YDR244W,3,11/19/11,8,16,-1,-8.92262
YDR124W,3,11/19/11,9,13,-1,-6.74256
YDR119W,3,11/19/11,9,23,-1,-9.50257
YDR260C,3,11/19/11,10,8,-1,-6.34636
YDR388W,3,11/19/11,12,23,-1,-13.09681
YDR025W,3,11/19/11,13,12,-1,-7.59689
YER114C,4,11/29/11,12,22,-1,-11.09057
YGL202W,5,11/30/11,2,22,-1,-3.53607
YGL227W,5,11/30/11,4,4,-1,-2.21364
YGL237C,5,11/30/11,6,8,-1,-0.67939
YGL244W,5,11/30/11,8,22,-1,-2.09921
YGL259W,5,11/30/11,10,20,-1,-4.24485
YGR133W,5,11/30/11,12,19,-1,-5.30246
YHR080C,6,11/30/11,4,6,-1,-5.76198
YHR113W,6,11/30/11,8,10,-1,-3.23987
YHR111W,6,11/30/11,8,14,-1,-4.28499
YHR106W,6,11/30/11,8,22,-1,-13.87017
YIL084C,7,11/30/11,5,18,-1,-12.08558
YJR094W-A,7,11/30/11,14,13,-1,-11.78651
YJL077C,7,11/30/11,15,11,-1,-2.20478
YKL177W,8,11/30/11,2,14,-1,-3.13613
YKR049C,8,11/30/11,2,23,-1,-8.21739
YKR030W,8,11/30/11,12,14,-1,-0.91580
YKR027W,8,11/30/11,12,20,-1,-14.35042
YLL015W,8,11/30/11,12,21,-1,-13.14771
YKR040C,8,11/30/11,14,18,-1,-1.99162
YLR328W,9,12/09/11,2,7,-1,-1.04415
YLR235C,9,12/09/11,6,22,-1,-2.66309
YLR346C,9,12/09/11,6,23,-1,-2.65834
YLR017W,9,12/09/11,7,12,-1,-3.21099
YLR253W,9,12/09/11,8,20,-1,-0.09326
YLR038C,9,12/09/11,9,4,-1,-0.07822
YLR391W,9,12/09/11,12,15,-1,-4.39222
YLR389C,9,12/09/11,12,21,-1,-7.29590
YLR282C,9,12/09/11,12,22,-1,-0.11681
YLR303W,9,12/09/11,14,14,-1,-12.12908
YLR189C,9,12/09/11,15,15,-1,-1.44304
YIR011C,TS1-37,12/01/11,2,12,-1,-3.61618
YGL247W,TS1-37,12/01/11,2,15,-1,-4.90856
YEL019C,TS1-37,12/01/11,5,11,-1,-3.50262
YJR093C,TS1-37,12/01/11,9,5,-1,-10.07086
YPR161C,TS1-37,12/01/11,14,20,-1,-1.78898
YLR293C,TS1-RT,12/01/11,7,7,-1,-5.22633
YFL039C,TS1-RT,12/01/11,8,19,-1,-13.38282
YLR340W,TS1-RT,12/01/11,10,17,-1,-10.53761
YLL031C,TS1-RT,12/01/11,12,15,-1,-1.63655
YPL020C,TS1-RT,12/01/11,14,6,-1,-13.94636
YLR100W,TS2-37,12/01/11,3,5,-1,-8.91845
YGR092W,TS2-37,12/01/11,13,23,-1,-9.64538
YMR220W,TS2-37,12/01/11,14,18,-1,-1.86906
YFL039C,TS2-RT,12/01/11,6,16,-1,-9.26550
YFL039C,TS2-RT,12/01/11,7,20,-1,-12.69211
YKL018W,TS3-37,12/02/11,2,22,-1,-6.20714
YMR263W,TS3-37,12/02/11,3,14,-1,-3.71984
YER009W,TS3-37,12/02/11,7,21,-1,-12.02032
YOR232W,TS3-37,12/02/11,13,18,-1,-3.47744
YDL017W,TS3-RT,12/02/11,2,14,-1,-1.83513
YFL039C,TS3-RT,12/02/11,4,15,-1,-1.21446
YHR030C,TS3-RT,12/02/11,6,5,-1,-7.04411
YGL091C,TS3-RT,12/02/11,6,6,-1,-4.84337
YKR086W,TS3-RT,12/02/11,7,11,-1,-0.64518
